Museum Name,City,Region,Continent,Address,Coordinates,Year of Establishment,Notable Items,Audio-Visuals,Webpage,Wiki-page,Contact,Remarks,Port
National Maritime Museum,Szczecin,Poland,Europe,"Wały Chrobrego 3, 70-500 Szczecin, Poland","53.43456992513777, 14.590825867332285","1946, became part of the National Museum in 1950",,https://www.youtube.com/channel/UCpTf8WeGL6VNC4DMDAWxSeA,https://muzeum.szczecin.pl/en/collections/maritime.html,"https://en.wikipedia.org/wiki/National_Museum,_Szczecin",lp.nicezczs.muezum@oruib,,
Naval Museum,Gdynia,Poland,Europe,"Zawiszy Czarnego 1B, 81-374 Gdynia, Poland","54.515817822871114, 18.54879779946245",1953,,,https://muzeummw.pl/en/main/,,sekretariat@muzeummw.pl,,
Museu de Marinha,Lisbon,Portugal,Europe,"Praça do Império, 1400-206 Lisboa, Portugal","38.69835082879403, -9.205275117977587",1963,,https://www.youtube.com/user/MarinhaPortuguesa,https://ccm.marinha.pt/pt/museu,https://en.wikipedia.org/wiki/Navy_Museum_(Portugal),geral.museu@marinha.pt,,
Museu Marítimo de Ílhavo e Aquário dos Bacalhaus,Ílhavo,Portugal,Europe,"Avenida Doutor Rocha Madahil 193, 3830-193 Ílhavo, Portugal",,1937,,,https://museumaritimo.cm-ilhavo.pt/pages/137,,museuilhavo@cm-ilhavo.pt,,
Almirante Ramalho Ortigão Maritime Museum,Faro,Portugal,Europe,"8000-078 Faro, Portugal","37.016914893103134, -7.936110209015507",1962,,,https://museusdoalgarve-wordpress-com.translate.goog/about/museu-maritimo-almirante-ramalho-ortigao/?_x_tr_sl=pt&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,,museum.ramalho.ortigao@marinha.pt,,
Museu Marítimo de Esposende,Esposende,Portugal,Europe,"Estação de Socorros a Náufragos, Av. Eng. Eduardo Arantes e Oliveira, 4740-204 Esposende, Portugal",,2012,,,https://museumaritimoesposende.pt/,,info@museumaritimoesposende.pt,,
Sesimbra Maritime Museum,Sesimbra,Portugal,Europe,"Rua da Fortaleza, 2970-738 Sesimbra","38.44316453552108, -9.100694986813169",2016,,https://youtu.be/L2tl1mYmKME,http://www.museusesimbra.pt/#/point/36,,museu@cm-sesimbra.pt,,
King D. Carlos Sea Museum,Cascais,Portugal,Europe,"R. Júlio Pereira de Mello, 2750-319 Cascais, Portugal","38.69535916350957, -9.423250460358249",1992,,https://youtu.be/qWiO1y_Iucg,https://museumar.cascais.pt/home.html,"https://en.wikipedia.org/wiki/Museum_of_the_Sea,_Cascais",museumar@cm-cascais.pt,,
Romanian Naval Museum,Constanța,Romania,Europe,"Strada Traian 53, Constanța 900725, Romania","44.175368569352166, 28.65367511050531",1969,,https://www.videoguide.ro/ro/video/1703/,https://muzeulmarinei.ro/,,naval.museum@yahoo.com,,
The Northern Maritime Museum,Arkhangelsk ,Russia,Eurasia,"Northern Dvina Embankment 80
Arkhangelsk","64.5340885254517, 40.516874646030644",1991,,https://videon.img.ria.ru/Volume29/Flv/direct/2015/07/03/2015_07_03_ARKTIKABODNARUKeng_2s3bhlof.mt0.mp4,https://northernmaritime.ru/,,sevmormuz@mail.ru,,
Russian Pacific Navy Military History Museum,Vladivostok,Russia,Eurasia,"690091, Primorski area, 66, Svetlanskaya Str., Vladivostok","43.114493021760616, 131.90102288933213",1950,,,,,,https://vladivostok-city.com/places/all/all/932,
Central Naval Museum,St. Petersburg,Russia,Eurasia,"Bol'shaya Morskaya Ulitsa, 69А, St Petersburg, Russia, 190000","59.9301186098626, 30.294256247475126",1924 (although its origin dates back to 1709),,https://www.youtube.com/channel/UCl91Hd2vGXdrg_ohMwIWsCw?view_as=subscriber,https://eng.navalmuseum.ru/,https://en.wikipedia.org/wiki/Central_Naval_Museum,navalmuseum_dm@mil.ru,,
Museum of the World Ocean,Kaliningrad,Russia,Europe,"Naberezhnaya Petra Velikogo, 1, Kaliningrad, Kaliningrad Oblast, Russia, 236006","54.707201678793176, 20.501591798946606",1990,,https://www.youtube.com/channel/UCeLhD6r3Fk3AnYKmTwV8caA?view_as=subscriber,https://world-ocean.ru/en/,,museum@world-ocean.ru,,
Naval Museum of the Northern Fleet,Murmansk,Russia,Europe,"Ulitsa Tortseva, 15, Murmansk, Murmansk Oblast, Russia, 183017","69.02530251454563, 33.08168908314233",1946,Ship models,,http://www.museum.ru/M2047,,naval-museum-nf@yandex.ru,,
Singapore Maritime Gallery,Singapore,Singapore,Asia,"31 Marina Coastal Dr, Level 2, Singapore 018988","1.2717860812208563, 103.86528303649035",2012,,https://youtu.be/Tuj6-X16P6Y,https://www.mpa.gov.sg/web/portal/home/maritime-singapore/public-outreach/singapore-maritime-gallery,,smg@mpa.gov.sg,,
Navy Museum,Singapore,Singapore,Asia,"112 Tanah Merah Coast Rd, Singapore 498794","1.3173167681266058, 104.01821958358873",2012,Navy ships,,https://www.mindef.gov.sg/oms/imindef/mindef_websites/atozlistings/navymuseum/home.html,,rsnmuseum@defence.gov.sg,https://www.straitstimes.com/singapore/navy-museum-set-to-undergo-revamp-to-reopen-in-august-2022,
Maritime Museum,Pirano,Slovenia,Europe,"Cankarjevo nabrežje 3, 6330 Piran - Pirano, Slovenia","45.52802530368552, 13.571947565550618",1954,,https://www.youtube.com/channel/UCQjmiqn7M0j_EGTr8YzWi3w,,,muzej@pommuz-pi.si,,
The Maritime Museum at the Bartolomeu Dias Museum Complex,Mossel Bay,South Africa,Africa,"1 Market St, Mossel Bay Central, Mossel Bay, 6500, South Africa","-34.179476527539926, 22.143959698398408",1987,Replica of 1488 Bartolomeu Dias Caravel,https://youtu.be/4so_W9K9tlQ,https://www.diasmuseum.co.za/,https://en.wikipedia.org/wiki/Bartolomeu_Dias_Museum_Complex,info@diasmuseum.co.za,,
The South African Maritime Centre,Cape Town,South Africa,Africa,"Union-Castle House, Dock Rd, Victoria & Alfred Waterfront, Cape Town, 8000, South Africa","-33.90494870331697, 18.42192132908551",1990,The world's last surviving boom defense ship,https://www.youtube.com/watch?v=IzLqxy3CuCc,https://www.iziko.org.za/museums/maritime-centre,,info@iziko.org.za,,
Port Natal Maritime Museum,Durban,South Africa,Africa,"Aliwal St, Durban Central, Durban, 4001, South Africa","-29.86170099144059, 31.03035570633712",,,,,,,,
SA Naval Museum,Simon's Town,South Africa,Africa,"St George's St, Simon's Town, Cape Town, 7995, South Africa","-34.19184079134696, 18.428454695354645",1993,History of the South African Navy,https://www.youtube.com/watch?v=aikiDTvEa8c,https://sanavymuseum.co.za/,"https://en.wikipedia.org/wiki/South_African_Naval_Museum#:~:text=7%20External%20links-,History,Military%20Museum%20in%20Cape%20Town.",info@sanavymuseum.co.za,,
National Maritime Museum 국립해양박물관,Busan,South Korea,Asia,"45 Haeyang-ro 301beon-gil, Dongsam 1(il)-dong, Yeongdo-gu, Busan, South Korea","35.07897518468519, 129.0800846386258",2012,Maritime antiquities,https://youtu.be/_N20kPfet3A,https://www.knmm.or.kr/eng/,https://en.wikipedia.org/wiki/Korea_National_Maritime_Museum,reservation@macu.kr,,
Mokpo National Maritime Museum 목포해양유물전시관,Mokpo,South Korea,Asia,"136, Namnong-ro, Mokpo, Jeonnam, 58699, Republic of KOREA","34.79230534247661, 126.42176685542748",1994,Maritime relics,,https://www.seamuse.go.kr/mokpo/eng/main,,,https://en.unesco.org/silkroad/silk-road-institutions/national-research-institute-maritime-cultural-heritage,
Taean National Maritime Museum 국립태안해양유물전시관,Taean gun,South Korea,Asia,"South Korea, Chungcheongnam-do, Taean-gun, Geunheung-myeon, Sinjindaegyo-gil, 94-33 KR","36.677238287542046, 126.15138699766193",2019,Taean shipwreck,,https://www.seamuse.go.kr/taean/eng/main,,,,
Busan Marine Natural History Museum 해양자연사박물관,Busan,South Korea,Asia,"175 Ujangchun-ro, Dongnae-gu, Busan, South Korea","35.222721084971596, 129.07564689999998",1994,Marine natural history of Busan,,https://www.busan.go.kr/eng/busan-marine-natural-history-museum,https://en.wikipedia.org/wiki/Busan_Marine_Natural_History_Museum,,,
National Ocean Science Museum 국립해양과학관,Uljin-gun,South Korea,Asia,"South Korea, Gyeongsangbuk-do, Uljin-gun, Jukbyeon-myeon, 해양과학길 8 KR","37.07422400519865, 129.40790873122097",2020,Ocean science,https://youtu.be/dVwg6gqnOs0,https://www.kosm.or.kr/kosm/en/main.do,,,,
Nationa Lighthouse Museum 국립등대박물관,Pohang-si,South Korea,Asia,"20, Haemaji-ro150 beon-gil, Homigot-myeon, Nam-gu, Pohang-si, Gyeongsangbuk-do, Korea","36.07811021895498, 129.5685874306871",1985,Lighthouse,https://www.youtube.com/watch?v=hBE6a3Gv17Y,https://www.lighthouse-museum.or.kr/en/,"https://en.wikipedia.org/wiki/National_Lighthouse_Museum,_South_Korea",info@lighthouse-museum.or.kr,,
Maritime Museum of Barcelona,Barcelona,Spain,Europe,"Av. de les Drassanes, s/n, 08001 Barcelona, Spain","41.37528778809495, 2.1763592035310513",1936,,https://www.youtube.com/user/MuseuMaritim,https://www.mmb.cat/en/,https://en.wikipedia.org/wiki/Maritime_Museum_of_Barcelona,informacio@mmb.cat,,
Maritime Museum Ria de Bilbao,Bilbao,Spain,Europe,"Ramón de la Sota Kaia, 1, 48013 Bilbo, Bizkaia, Spain","43.267060093618745, -2.9459771232794996",2003,,https://youtu.be/Q45mzqpbtR0,https://www.itsasmuseum.eus/en/,,vasamuseet@smtm.se,,
Museo Naval de Madrid,Madrid,Spain,Europe,"Paseo del Prado, 3. 28014, Madrid.","40.41857792139835, -3.6906736634831905",1843,,https://www.youtube.com/c/ArmadaEspa%C3%B1ola,https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-en/01cienciamuseo,https://en.wikipedia.org/wiki/Naval_Museum_of_Madrid,museonavalmadrid@fn.mde.es,,
El Masnou Municipal Nautical Museum,Barcelona,Spain,Europe,"Carrer Josep Pujadas Truch, 1A, 08320 El Masnou, Barcelona, Spain","41.482946824125335, 2.31644145882069",1962,,,http://elmasnouterrademar.cat/en/museu-nautica.php,https://en.wikipedia.org/wiki/El_Masnou_Municipal_Nautical_Museum,museu@elmasnou.cat,,
Euskal Itsas Museoa,Gipuzkoa,Spain,Europe,"P.º del Muelle, 24, 20003 Donostia-San Sebastian, Gipuzkoa, Spain","43.3238366766637, -1.9870214577330543",1991,,https://www.youtube.com/user/UNTZIMUSEOA3,https://itsasmuseoa.eus/en/,,info@itsasmuseoa.eus,,
Museu de la Pesca,Girona,Spain,Europe,"Zona Portuària, Calle del Muelle, s/n, 17230 Palamós, Girona, Spain","41.845323861818336, 3.1273765534987654",2002,"Past, present and future of maritime fishing in the Costa Brava region  ",https://www.youtube.com/channel/UCaZkBVLIOWhxEV_7LBu2Azw,https://www.museudelapesca.org/en/,"https://en.wikipedia.org/wiki/Fishing_Museum,_Palam%C3%B3s",infomuseu@palamos.cat,,
Port Museum,Tarragona,Spain,Europe,"Moll de la Costa, s/n, 43004, Tarragona, Spain","41.11046570914763, 1.2479448507449034",2000,,https://www.youtube.com/channel/UCSSdPi5q4UjwBGwA5MsmOpQ,https://www.porttarragona.cat/en/port-city/port-museum,https://ca.wikipedia.org/wiki/Museu_del_Port_de_Tarragona,sac@porttarragona.cat,,
Museo Marítimo de Asturias,Asturias,Spain,Europe,"Calle Gijón, 6, 33440 Luanco, Asturias, Spain","43.61375889539656, -5.792541802534558",1948,,https://www.youtube.com/channel/UCx6nVduzAYiZEPdsngImV9g,https://museomaritimodeasturias.com/,https://es.wikipedia.org/wiki/Museo_Mar%C3%ADtimo_de_Asturias,museum@mail.com,,
Espai Far ,Barcelona,Spain,Europe,"Pujada Far de Sant Cristòfol, 2, 08800 Vilanova i la Geltrú, Barcelona, Spain","41.2174830245494, 1.737414922746123",2016,,https://www.youtube.com/channel/UCNcgbZIlYhXUOooqkEowl2A,https://espaifarvng.cat/en/,https://ca.wikipedia.org/wiki/Espai_Far,espaifar@vilanova.cat,,
Museu Marítim de Mallorca,Sóller,Spain,Europe,"Carrer de Santa Caterina d'Alexandria, 54, 07108 Sóller, Illes Balears, Spain","39.809290326727755, 2.7310524460076806",2017,,https://www.youtube.com/channel/UCmBEgtw_c4hQH5t3944NI6Q,https://museumaritim.conselldemallorca.cat/en/,,informaciomaritim@conselldemallorca.net,,
Maritime Museum,Lloret de Mar,Spain,Europe,"Passeig de Camprodon i Arrieta, 2, 17310 Lloret de Mar, Girona, Spain","41.700192418654986, 2.853772589371842",1981,,,,,rsanchez@lloret.cat,https://patrimoni.lloret.cat/en/moll-open-museum-of-lloret/maritime-museum,
Hoods Tower Naval Museum,Trincomalee,Sri Lanka,Asia,"naval base, Trincomalee, Sri Lanka","8.58759717975204, 81.21572708407363",,,,,https://en.wikipedia.org/wiki/Hoods_Tower_Museum,,,
National Maritime Museum,Galle,Sri Lanka,Asia,"Queens St, Galle 80000, Sri Lanka","6.290258629028432, 80.63367456418057",1992,,,http://www.museum.gov.lk/web/index.php?option=com_regionalm&task=regionalmuseum&id=8&Itemid=79&lang=en,https://en.wikipedia.org/wiki/National_Maritime_Museum_(Galle),,Reopen in 2007 after the 2004 trunami,
Marinmuseum,Karlskrona,Sweden,Europe,"371 32 Karlskrona, Sweden","56.16127658002916, 15.601598974613712",1752,,https://www.youtube.com/user/Marinmuseum,https://www.marinmuseum.se/en,https://en.wikipedia.org/wiki/Marinmuseum,marinmuseum@smtm.se,,
Maritime Museum,Stockholm,Sweden,Europe,"Djurgårdsbrunnsvägen 24, 115 27 Stockholm, Sweden",,1938,,https://www.youtube.com/channel/UCgDE1hDC0e7G_yAGPDSPAKQ,https://www.sjohistoriska.se/en/about-the-museum,https://en.wikipedia.org/wiki/Maritime_Museum_(Stockholm),sjohistoriska@smtm.se,,
Maritiman,Gothenburg,Sweden,Europe,"Packhusplatsen 12, 411 13 Göteborg, Sweden","57.709152172510215, 11.962508259796309",1987,,https://www.youtube.com/channel/UCcLkh5BfvigEI0RHIwp-L-w,https://www.maritiman.se/en,https://en.wikipedia.org/wiki/Maritiman,INFO@MARITIMAN.SE,,
Vasa Museum,Stockholm,Sweden,Europe,"Galärvarvsvägen 14, 115 21 Stockholm, Sweden","59.328526813968395, 18.091954299473304",1990,warship Vasa from 1628,https://www.youtube.com/channel/UCOpOsd0xVzgZAys0jF5dZfQ,https://www.vasamuseet.se/en,https://en.wikipedia.org/wiki/Vasa_Museum,vasamuseet@smtm.se,,
Vrak - Museum of Wrecks,Stockholm,Sweden,Europe,"Djurgårdsstrand 17, 115 21 Stockholm, Sweden","59.32641818775792, 18.09555214835798",2021,,https://www.youtube.com/channel/UCni2vEqnNC0Zkv_ZeAaD1lg,https://www.vrak.se/en/,https://en.wikipedia.org/wiki/Vrak_%E2%80%93_Museum_of_Wrecks,info@vrak.se,,
Sweden's Seamen's Shipping Office Museum,Uddevalla,Sweden,Europe,"Stora Hellevigsgatan 4, 451 40 Uddevalla, Sweden","58.34814075160963, 11.93601021149437",,,,http://www.sjomanshusmuseum.org/,,sjomanshusmuseum@telia.com,,
Maritime Museum and Aquarium,Gothenburg,Sweden,Europe,"Karl Johansgatan 1-3, 414 59 Göteborg, Sweden","57.699293594432184, 11.933546890984491",1933,,,sjofartsmuseetakvariet.se/en/,,info.sjofartsmuseum@kultur.goteborg.se,,
Foteviken Viking Museum,Höllviken,Sweden,Europe,"Museivägen 27, 236 91 Höllviken, Sweden","55.42893319597931, 12.954577420595925",1993,,https://www.youtube.com/results?search_query=fotevikens+museum,https://www.fotevikensmuseum.se/d/en,https://en.wikipedia.org/wiki/Foteviken_Museum,info@foteviken.se,,
Råå Museum,Råå,Sweden,Europe,"Museiplanen 1, 252 70 Råå, Sweden","55.99375612711605, 12.744589044417145",1937,,https://www.youtube.com/channel/UCcISlxedi6kicb5v0llFyQA,https://raamuseum.se/?lang=en,,info@raamuseum.se,,
Exhibition Transportation Hub Switzerland,Basel,Switzerland,Europe,"Westquaistrasse 2, 4057 Basel, Switzerland","47.583115210647804, 7.592876312117966",1954,,,http://hafenmuseum.ch/,,kontakt@hafenmuseum.ch,,
Evergreen Maritime Museum 長榮海事博物館,Taipei,Taiwan,Asia,"100, Taiwan, Taipei City, Zhongzheng District, Zhongshan S Rd, 11號5樓","25.039673999205068, 121.51889781534352",2008,Ship models,,https://www.evergreenmuseum.org.tw/,https://en.wikipedia.org/wiki/Evergreen_Maritime_Museum,emm@cyff.org.tw,,
Tamkang University Maritime Museum 淡江大學海事博物館,New Taipei,Taiwan,Asia,"Black Swan Exhibition Hall, No. 151, Yingzhuan Rd, Tamsui District, New Taipei City, Taiwan 251","25.17692743028925, 121.4525270518339",,,,,,,,
Yangming Museum of Marine Exploration Kaohsiung 陽明高雄海洋探索館,Kaohsiung,Taiwan,Asia,"No. 50-61, Beishan Ln, Qijin DistrictKaohsiung City, Taiwan 805","22.590961758308513, 120.29041937181371",2007,https://m.facebook.com/pg/MoMe.org.tw/videos/?ref=page_internal,https://www.facebook.com/MoMe.org.tw/,,,,,
The National Maritime Museum,Chanthaburi,Thailand,Asia,"80 Moo 8, Tha Chalaep Road Bang Kacha Mueang Chanthaburi Chanthaburi 22000","12.585642568605865, 102.06866296824519",2001,Actual-sized ancient Chinese sailing ship,,https://www.finearts.go.th/maritimemuseum,,nm_panichnavee@finearts.go.th,,
Naval Museum ,Pak Nam,Thailand,Asia,Paknam Mueang Samut Prakan Samut Prakan 10270,"13.610294643888663, 100.59693242221452",,,,https://www.museumthailand.com/en/museum/Naval-Museum,,webmaster@museumthailand.com,,
Island And Sea Natural Museum,Samaesan ,Thailand,Asia,Khok Samae San Sattahip Chon Buri 15250,"12.603428800758659, 100.9498678079387",2007,,,https://www.museumthailand.com/en/museum/THAI-ISLAND-AND-SEA-NATURE-HISTORY-MUSEUM,,museumsthailand@gmail.com,,
Naval Museum,Istanbul,Turkey,Middle East,"Deniz Müzesi Komutanlığı
Sinan Paşa Mh. Beşiktaş Cad. 6/1
Beşiktaş / İstanbul / TURKEY","41.04167745195291, 29.005368011428466","1897, latest new museum sites opened in 2013",,,https://denizmuzesi.dzkk.tsk.tr/en,https://en.wikipedia.org/wiki/Istanbul_Naval_Museum,muze.istanbul.iletisim@dzkk.tsk.tr,,
Museum of the Black Sea Fleet,Sevastopol,Ukraine/Russia,Europe,"Lenina St, 11, Sevastopol","44.61391489367852, 33.52784006720501",1869,,,https://sc.mil.ru/social/culture/museums/more.htm?id=11175@morfOrgCulture,,,,
Sharjah Maritime Museum,Al Khan - Sharjah,United Arab Emirates,Middle East,Al Khan - Sharjah - United Arab Emirates,"25.33197143851647, 55.358642677251616",2003,,https://www.youtube.com/watch?v=0hcNu7QQYt0,https://www.sharjahmuseums.ae/en-US/Museums/Sharjah-Maritime-museum,,,,
Aberdeen Maritime Museum,Aberdeen,United Kingdom,Europe,"Shiprow, Aberdeen AB11 5BY, United Kingdom","57.14709583007513, -2.0937648010560186",1984,Ship models,https://www.youtube.com/watch?v=Nq8Aieuuf3U,https://www.aberdeencity.gov.uk/AAGM/plan-your-visit/aberdeen-maritime-museum,https://en.wikipedia.org/wiki/Aberdeen_Maritime_Museum,info@aagm.co.uk,,
Chatham Historic Dockyard,Chatham,United Kingdom,Europe,"Main Gate Rd, Chatham ME4 4TZ, United Kingdom","51.397169039209636, 0.530813659791969","The original dry dock opened in 1581, guided tours at the dock started in 1970.",,https://youtu.be/Ndf_pekzuHE,https://thedockyard.co.uk/,https://en.wikipedia.org/wiki/Chatham_Historic_Dockyard,email:info@chdt.org.uk,,
Hull Maritime Museum,Hull,United Kingdom,Europe,"Queen Victoria Square, Hull HU1 3DX, United Kingdom",,1975,,https://www.youtube.com/channel/UCYrEj_6gEljV1UnddKvt_7A/featured,https://maritimehull.co.uk/projects/hull-maritime-museum,https://en.wikipedia.org/wiki/Hull_Maritime_Museum,hymc@hullcc.gov.uk,,
Lancaster Maritime Museum,Lancaster,United Kingdom,Europe,"Custom House, St George's Quay, Lancaster LA1 1RB, United Kingdom","54.054154576817794, -2.80335900213545",1985,,,https://www.lancaster.gov.uk/sport-and-leisure/museums/maritime-museum,,lancastermaritimemuseum@lancaster.gov.uk,,
Lowestoft Maritime Museum,Lowestoft,United Kingdom,Europe,"Whapload Rd, Lowestoft NR32 1UL, United Kingdom","52.48821401732881, 1.7585212682451772",1968,,,http://www.lowestoftmaritimemuseum.co.uk/,https://en.wikipedia.org/wiki/Lowestoft_Maritime_Museum,admin@lowestoftmaritimemuseum.co.uk,,
Merseyside Maritime Museum,Liverpool,United Kingdom,Europe,"Royal Albert Dock, Liverpool, United Kingdom L3 4AQ","53.40206341275623, -2.990307964009888",1980,Titanic collection,https://www.youtube.com/user/NMLWebTeam,https://www.liverpoolmuseums.org.uk/maritime-museum,https://en.wikipedia.org/wiki/Merseyside_Maritime_Museum,Francoise.McClafferty@liverpoolmuseums.org.uk,,
National Maritime Museum,Cornwall,United Kingdom,Europe,"Discovery Quay, Port Pendennis, Falmouth TR11 3QY, United Kingdom","50.23311156858376, -4.548771300340053",2003,,https://www.youtube.com/user/MaritimeCornwall,https://nmmc.co.uk/,https://en.wikipedia.org/wiki/National_Maritime_Museum_Cornwall,enquiries@nmmc.co.uk,,
National Maritime Museum,London,United Kingdom,Europe,"Romney Rd, London SE10 9NF, United Kingdom","51.481406696668614, -0.0035954169559156163",1937,,,https://www.rmg.co.uk/national-maritime-museum,https://en.wikipedia.org/wiki/National_Maritime_Museum,RMGenquiries@rmg.co.uk,,
Scottish Maritime Museum,Irvine,United Kingdom,Europe,"Linthouse Building, Harbour Rd, Irvine KA12 8BT, United Kingdom","55.60997831443586, -4.674091356120405",1991,,https://www.youtube.com/channel/UC099mRLWLQGNrVYnRX9KdGw,https://www.scottishmaritimemuseum.org/,https://en.wikipedia.org/wiki/Scottish_Maritime_Museum,denny@scotmaritime.org.uk,,
SeaCity Museum,Southampton,United Kingdom,Europe,"Havelock Rd, Southampton SO14 7FY, United Kingdom","50.90828651876498, -1.4071895777911085",2012,,https://www.youtube.com/user/SeaCityMuseum,https://seacitymuseum.co.uk/,https://seacitymuseum.co.uk/,museums@southampton.gov.uk,,
Ramsgate Maritime Museum,Ramsgate,United Kingdom,Europe,"Royal Hbr Approach, Ramsgate CT11 8LS, United Kingdom","51.331649401554564, 1.4228966670914693",2012,,,https://www.ramsgatemaritimemuseum.org/,https://en.wikipedia.org/wiki/Ramsgate_Maritime_Museum,info@ramsgatemaritimemuseum.org,,
Holyhead Maritime Museum,Holyhead,United Kingdom,Europe,"Newry Beach, Traeth, Holyhead LL65 1YD, United Kingdom","53.31674373809656, -4.6351380733107",1986,,http://www.holyheadmaritimemuseum.co.uk/index.php/museum/museum-video,http://www.holyheadmaritimemuseum.co.uk/,https://en.wikipedia.org/wiki/Holyhead_Maritime_Museum,maritimemuseumholyhead@gmail.com,,
SS Great Britain,Bristol,United Kingdom,Europe,"Great Western Dockyard, Gas Ferry Rd, Bristol BS1 6TY, United Kingdom","51.44935505260136, -2.607847902216216",2005 as museum ship,Museum ship,https://www.youtube.com/c/ssGreatBritainTrust,https://www.ssgreatbritain.org/,https://en.wikipedia.org/wiki/SS_Great_Britain,admin@ssgreatbritain.org,,
Mary Rose Museum,Portsmouth,United Kingdom,Europe,"Main Rd, HM Naval Base, Portsmouth PO1 3PY, United Kingdom","50.802296137170266, -1.108176685043864",1984,Mary Rose warship,https://www.youtube.com/user/MaryRoseMuseum,https://maryrose.org/,https://en.wikipedia.org/wiki/Mary_Rose_Museum,https://maryrose.org/your-visit/#contact,,
Brighton Fishing Museum,Brighton,United Kingdom,Europe,"201, Kings Road Arches, Brighton BN1 1NB, United Kingdom","50.820604175408064, -0.14002494817999647",1992,,,https://www.seafrontheritage.co.uk/fishing-museum,https://en.wikipedia.org/wiki/Brighton_Fishing_Museum,info@fishingquarter.co.uk,,
Cutty Sark,London,United Kingdom,Europe,"King William Walk, London SE10 9HT, United Kingdom","51.4834525566095, -0.008561731761630914",1954,Museum ship,https://www.youtube.com/watch?v=fAm9J_6ghVA,https://www.rmg.co.uk/cutty-sark,https://en.wikipedia.org/wiki/Cutty_Sark,vasamuseet@smtm.se,,
Scottish Fisheries Museum,Anstruther,United Kingdom,Europe,"St Ayles, Harbourhead, Cellardyke, Anstruther KY10 3AB, United Kingdom","56.22637430445376, -2.6809001322991812",1969,historic vessels,https://www.youtube.com/user/scotfishmuseum,https://www.scotfishmuseum.org/,https://en.wikipedia.org/wiki/Scottish_Fisheries_Museumv,enquiries@scotfishmuseum.org,,
The Dock Museum,Barrow-in-Furness,United Kingdom,Europe,"Barrow-in-Furness LA14 2PW, United Kingdom","54.112051933483606, -3.2397069040142763",1907,,,https://dockmuseum.org.uk/,https://en.wikipedia.org/wiki/Dock_Museum,dockmuseum@barrowbc.gov.uk,,
Fleetwood Museum,Fleetwood,United Kingdom,Europe,"6-7 Queen's Ter, Fleetwood FY7 6BT, United Kingdom","53.92532151949888, -3.0022370725387693",1992,,https://youtu.be/nv1BemNK-gs,https://www.fleetwoodmuseum.co.uk/,https://en.wikipedia.org/wiki/Fleetwood_Museum,info@fleetwoodmuseum.co.uk,,
Royal Navy Submarine Museum,Gosport,United Kingdom,Europe,"Haslar, Jetty Road, Gosport PO12 2AS, United Kingdom","50.788866229732676, -1.1173644021502005",1963,,https://youtu.be/erxt3uc2WbY,https://www.nmrn.org.uk/our-museum/submarine,https://en.wikipedia.org/wiki/Royal_Navy_Submarine_Museum,enquiries@nmrn.org.uk,,
"Windermere Jetty: Museum of Boats, Steam and Stories",Windermere,United Kingdom,Europe,"Rayrigg Rd, Bowness-on-Windermere, Windermere LA23 1BN, United Kingdom","54.37121519450252, -2.9192587487175468",1977,,,https://lakelandarts.org.uk/windermere-jetty-museum/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness,"https://en.wikipedia.org/wiki/Windermere_Jetty:_Museum_of_Boats,_Steam_and_Stories",info@windermerejetty.org.uk,,
The Shipwreck Treasure Museum,Cornwall,United Kingdom,Europe,"Quay Rd, Charlestown Rd, Saint Austell PL25 3NJ, United Kingdom","50.3336239438944, -4.754994394209793",1976,,https://m.facebook.com/pg/CharlestownShipwreckHeritageCentre/videos/?ref=page_internal&mt_nav=0,https://www.shipwreckcharlestown.co.uk/,https://en.wikipedia.org/wiki/Charlestown_Shipwreck_%26_Heritage_Centre,info@shipwreckcharlestown.com,,
Devonport Naval Heritage Site and Visitor Centre,Plymouth,United Kingdom,Europe,"Vivid Approach, Off Granby Wy., Devonport, Plymouth PL1 4RW, United Kingdom","50.371152219936825, -4.178818879404078",,decomissioned submarine ‘Courageous’,,https://devonportnhc.wordpress.com/,https://en.wikipedia.org/wiki/Devonport_Naval_Heritage_Centre,NavyNbcd-Book1@mod.gov.uk,,
Shipwreck Centre & Maritime Museum,Arreton,United Kingdom,Europe,"Arreton Barns Craft Village, Arreton PO30 3AA, United Kingdom","50.67916705648186, -1.2421443725387697",1978,,https://www.youtube.com/channel/UCWnLs8dpBLsQYSD5J5Sy7ZQ,https://museum.maritimearchaeologytrust.org/,,museum@maritimearchaeologytrust.org,,
Buckler's Hard Maritime Museum,Brockenhurst,United Kingdom,Europe,"Bucklers Hard, Beaulieu, Brockenhurst SO42 7XB, United Kingdom","50.8126712877088, -1.4168539559980506",1963,,https://youtu.be/KIYmFz8tqQQ,https://www.bucklershard.co.uk/attractions/maritime-museum/,,https://www.bucklershard.co.uk/contact-us/,,
Maryport Maritime Museum,Maryport,United Kingdom,Europe,"1 Senhouse St, Maryport CA15 6AB, United Kingdom","54.71476329017766, -3.49907250161265",1975,,https://www.youtube.com/watch?v=6XBo208IL7s,http://www.maryportmaritimemuseum.com/,,maritime.maryport@gmail.com,,
